Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
15.508,1461.954,21.92,-11.2,47.78,1.538018754,1,0,1,12.879,99.0,47.78
15.504,1464.323,17.69,11.2,47.39,1.542018754,1,0,1,12.92,99.0,47.39
15.479,1465.643,22.56,11.2,48.21,1.567018754,1,0,1,12.981,99.0,48.21
15.485,1468.11,24.65,-11.2,47.35,1.561018754,1,0,1,13.012,99.0,47.35
15.506,1470.534,22.99,-6.9,47.23,1.540018754,1,0,1,13.028,99.0,47.23
15.48,1472.811,22.41,-11.2,46.49,1.566018754,1,0,1,13.09,99.0,46.49
15.492,1475.337,18.36,-11.2,45.32,1.554018754,1,1,1,13.114,12.717,45.32
15.487,1477.283,15.18,-4.89,44.74,1.559018754,1,1,1,13.155,12.717,44.74
15.459,1478.392,16.56,11.2,45.15,1.587018754,1,1,1,13.22,12.684,45.15
15.443,1479.885,19.75,11.2,44.77,1.603018754,1,1,1,13.272,12.705,44.77
15.458,1482.048,20.15,10.41,44.21,1.588018754,1,1,1,13.293,12.746,44.21
15.451,1483.982,22.9,-0.47,44.12,1.595018754,1,1,1,13.336,12.734,44.12
15.446,1486.412,21.65,3.19,43.52,1.600018754,1,1,1,13.378,12.743,43.52
15.439,1488.467,22.67,4.52,43.43,1.607018754,1,1,1,13.421,12.749,43.43
15.435,1490.85,23.7,-11.2,43.17,1.611018754,1,1,1,13.461,12.749,43.17
15.438,1493.179,22.25,-9.23,43.03,1.608018754,1,1,1,13.494,12.777,43.03
15.423,1495.357,20.54,0.99,43.12,1.623018754,1,0,1,13.546,99.0,43.12
15.417,1497.474,20.95,-11.2,43.27,1.629018754,1,0,1,13.588,99.0,43.27
15.426,1499.741,17.07,1.93,43.26,1.620018754,1,0,1,13.615,99.0,43.26
15.394,1501.122,19.03,11.2,44.12,1.652018754,1,0,1,13.685,99.0,44.12
15.39,1503.089,21.22,0.44,44.4,1.656018754,1,0,1,13.725,99.0,44.4
15.399,1505.236,21.67,-6.98,44.5,1.647018754,1,0,1,13.752,99.0,44.5
15.391,1507.368,20.71,-3.54,44.61,1.655018754,1,0,1,13.796,99.0,44.61
15.386,1509.418,20.17,-0.9,44.81,1.660018754,1,0,1,13.838,99.0,44.81
15.38,1511.429,20.02,-0.12,45.04,1.666018754,1,0,1,13.88,99.0,45.04
15.374,1513.435,19.86,1.55,45.28,1.672018754,1,0,1,13.922,99.0,45.28
15.369,1515.43,19.71,5.25,45.53,1.677018754,1,0,1,13.963,99.0,45.53
15.365,1517.48,20.92,-11.2,45.73,1.681018754,1,0,1,14.004,99.0,45.73
15.374,1519.744,17.04,2.09,45.71,1.672018754,1,0,1,14.031,99.0,45.71
15.342,1521.121,19.04,11.2,46.58,1.704018754,1,0,1,14.099,99.0,46.58
15.337,1523.069,22.01,-7.87,46.86,1.709018754,1,0,1,14.14,99.0,46.86
15.347,1525.334,19.55,4.42,46.93,1.699018754,1,0,1,14.167,99.0,46.93
15.33,1527.134,20.79,11.2,47.14,1.716018754,1,0,1,14.22,99.0,47.14
15.322,1529.258,22.28,9.51,47.55,1.724018754,1,0,1,14.264,99.0,47.55
15.345,1531.543,23.77,1.67,47.62,1.701018754,1,0,1,14.278,99.0,47.62
15.284,1533.935,23.9,1.52,47.41,1.762018754,1,0,1,14.376,99.0,47.41
15.304,1536.322,24.24,0.09,47.09,1.742018754,1,0,1,14.392,99.0,47.09
