Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
15.942,893.402,14.75,-8.15,33.09,1.651826583,1,0,1,11.716,99.0,33.09
15.939,894.797,14.18,-2.48,32.61,1.654826583,1,0,1,11.715,99.0,32.61
15.94,896.182,14.03,0.15,32.13,1.653826583,1,0,1,11.71,99.0,32.13
15.939,897.585,14.05,0.22,31.64,1.654826583,0,0,1,99.0,99.0,31.64
15.939,898.993,14.06,0.0,31.14,1.654826583,0,0,1,99.0,99.0,31.14
15.939,900.399,14.06,0.02,30.64,1.654826583,0,0,1,99.0,99.0,30.64
15.938,901.805,14.06,0.0,30.15,1.655826583,0,0,1,99.0,99.0,30.15
15.939,903.212,14.06,-0.02,29.65,1.654826583,0,0,1,99.0,99.0,29.65
15.938,904.618,14.06,0.0,29.15,1.655826583,0,0,1,99.0,99.0,29.15
15.939,906.021,14.08,0.4,28.66,1.654826583,0,0,1,99.0,99.0,28.66
15.938,907.435,14.1,0.0,28.15,1.655826583,0,0,1,99.0,99.0,28.15
15.939,908.867,13.87,-3.58,27.63,1.654826583,0,0,1,99.0,99.0,27.63
15.939,910.276,13.18,-9.81,27.13,1.654826583,1,0,1,11.958,99.0,27.13
15.926,911.534,11.94,-11.2,26.79,1.667826583,1,0,1,11.973,99.0,26.79
15.915,912.64,10.28,-11.2,26.62,1.678826583,1,0,1,11.984,99.0,26.62
15.925,913.59,8.62,-11.2,26.55,1.668826583,1,0,1,11.976,99.0,26.55
15.937,914.388,7.38,-9.81,26.52,1.656826583,1,0,1,11.964,99.0,26.52
15.938,915.036,6.69,-3.6,26.51,1.655826583,0,0,1,99.0,99.0,26.51
15.937,915.66,6.46,-0.02,26.44,1.656826583,0,0,1,99.0,99.0,26.44
15.938,916.302,6.47,0.39,26.3,1.655826583,0,0,1,99.0,99.0,26.3
15.938,916.954,6.5,0.0,26.08,1.655826583,0,0,1,99.0,99.0,26.08
15.938,917.604,6.5,0.0,25.76,1.655826583,0,0,1,99.0,99.0,25.76
15.938,918.254,6.5,0.0,25.33,1.655826583,0,0,1,99.0,99.0,25.33
15.938,918.904,6.5,0.0,24.85,1.655826583,0,0,1,99.0,99.0,24.85
15.938,919.555,6.5,-0.02,24.35,1.655826583,0,0,1,99.0,99.0,24.35
15.938,920.205,6.5,-0.02,23.81,1.655826583,0,0,1,99.0,99.0,23.81
15.937,920.854,6.5,0.0,23.22,1.656826583,0,1,1,99.0,11.297,23.22
15.937,921.504,6.5,0.0,22.58,1.656826583,0,1,1,99.0,11.29,22.58
15.937,922.154,6.5,0.0,21.93,1.656826583,0,1,1,99.0,11.283,21.93
15.937,922.802,6.52,0.33,21.28,1.656826583,0,1,1,99.0,11.276,21.28
15.937,923.457,6.54,0.15,20.63,1.656826583,0,1,1,99.0,11.277,20.63
15.937,924.131,6.37,-2.79,19.95,1.656826583,0,0,1,99.0,99.0,19.95
15.936,924.788,5.79,-8.29,19.3,1.657826583,0,0,1,99.0,99.0,19.3
15.928,925.334,4.72,-11.2,18.75,1.665826583,0,0,1,99.0,99.0,18.75
15.92,925.729,3.27,-11.2,18.35,1.673826583,0,0,1,99.0,99.0,18.35
15.929,925.991,1.85,-11.2,18.09,1.664826583,0,0,1,99.0,99.0,18.09
15.937,926.1,0.81,-7.99,17.98,1.656826583,0,0,1,99.0,99.0,17.98
15.937,926.107,0.23,-3.08,17.98,1.656826583,0,0,1,99.0,99.0,17.98
15.937,926.107,0.0,0.0,17.98,1.656826583,0,0,1,99.0,99.0,17.98
15.937,926.107,0.0,0.0,17.98,1.656826583,0,0,1,99.0,99.0,17.98
15.937,926.107,0.0,0.0,17.98,1.656826583,0,0,1,99.0,99.0,17.98
15.937,926.107,0.0,0.0,17.98,1.656826583,1,0,1,11.142,99.0,17.98
