Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
55.036,571.237,19.61,6.26,56.47,0.984514787,1,1,1,12.17,11.508,56.47
55.041,573.273,19.93,0.0,56.7,0.989514787,1,1,1,12.184,11.51,56.7
55.046,575.31,19.59,-6.53,57.08,0.994514787,1,1,1,12.198,11.511,57.08
55.049,577.264,18.77,-10.55,57.7,0.997514787,1,1,1,12.215,11.511,57.7
55.054,579.076,17.91,-8.3,58.49,1.002514787,1,1,1,12.229,11.512,58.49
55.059,580.772,17.56,0.35,59.38,1.007514787,1,1,1,12.244,11.514,59.38
55.065,582.482,17.88,7.4,60.24,1.013514787,1,1,1,12.257,11.515,60.24
55.068,584.309,18.44,6.01,60.99,1.016514787,1,1,1,12.273,11.515,60.99
55.072,586.221,18.76,0.06,61.65,1.020514787,0,1,1,99.0,11.515,61.65
55.076,588.115,18.76,-1.87,62.33,1.024514787,0,1,1,99.0,11.516,62.33
55.08,589.958,18.81,2.2,63.07,1.028514787,0,1,1,99.0,11.516,63.07
55.083,591.824,19.15,5.74,63.78,1.031514787,0,1,1,99.0,11.516,63.78
55.087,593.771,19.62,4.64,64.4,1.035514787,0,1,1,99.0,11.518,64.4
55.091,595.777,19.95,1.56,64.95,1.039514787,0,1,1,99.0,11.519,64.95
55.095,597.793,20.04,-0.21,65.47,1.043514787,0,1,1,99.0,11.52,65.47
55.099,599.797,20.02,-0.24,66.02,1.047514787,0,1,1,99.0,11.522,66.02
55.103,601.796,20.0,0.0,66.59,1.051514787,0,1,1,99.0,11.524,66.59
55.107,603.796,20.0,0.0,67.17,1.055514787,0,1,1,99.0,11.524,67.17
55.111,605.796,20.0,0.0,67.72,1.059514787,0,1,1,99.0,11.533,67.72
55.114,607.796,20.0,0.0,68.29,1.062514787,0,1,1,99.0,11.528,68.29
55.118,609.796,20.0,0.0,68.92,1.066514787,0,0,1,99.0,99.0,68.92
55.122,611.792,20.02,0.45,69.68,1.070514787,0,0,1,99.0,99.0,69.68
55.126,613.797,20.07,0.59,70.56,1.074514787,0,0,1,99.0,99.0,70.56
55.131,615.809,20.1,0.18,71.55,1.079514787,0,0,1,99.0,99.0,71.55
55.134,617.815,20.17,0.89,72.59,1.082514787,0,0,1,99.0,99.0,72.59
55.136,619.821,20.43,3.57,73.62,1.084514787,0,0,1,99.0,99.0,73.62
55.138,621.86,20.93,6.83,74.61,1.086514787,0,0,1,99.0,99.0,74.61
55.14,623.983,21.58,7.03,75.51,1.088514787,0,0,1,99.0,99.0,75.51
55.143,626.193,22.12,4.19,76.32,1.091514787,0,0,1,99.0,99.0,76.32
55.145,628.438,22.5,2.6,77.09,1.093514787,0,0,1,99.0,99.0,77.09
55.147,630.693,22.88,4.19,77.84,1.095514787,0,0,1,99.0,99.0,77.84
55.149,632.983,23.42,7.04,78.55,1.097514787,0,1,1,99.0,12.961,78.55
55.152,635.357,24.1,7.28,79.2,1.100514787,0,1,1,99.0,13.146,79.2
55.154,637.821,24.66,4.39,79.76,1.102514787,0,1,1,99.0,13.219,79.76
55.157,640.33,24.96,1.27,80.28,1.105514787,0,1,1,99.0,13.193,80.28
55.16,642.845,25.04,-0.24,80.81,1.108514787,0,1,1,99.0,13.133,80.81
55.162,645.348,25.01,-0.24,81.34,1.110514787,0,1,1,99.0,13.091,81.34
55.165,647.846,25.0,0.0,81.81,1.113514787,0,1,1,99.0,13.086,81.81
55.167,650.346,25.0,0.0,82.26,1.115514787,0,1,1,99.0,13.096,82.26
55.17,652.846,25.0,0.0,82.74,1.118514787,0,1,1,99.0,13.098,82.74
55.173,655.346,25.0,0.0,83.27,1.121514787,0,1,1,99.0,13.1,83.27
55.176,657.851,24.95,-0.75,83.84,1.124514787,0,1,1,99.0,13.101,83.84
55.179,660.346,24.85,-1.37,84.39,1.127514787,0,1,1,99.0,13.101,84.39
55.181,662.821,24.77,-0.65,84.96,1.129514787,0,1,1,99.0,13.1,84.96
55.187,665.287,24.77,0.66,85.55,1.135514787,0,1,1,99.0,13.102,85.55
55.193,667.764,24.83,1.11,86.12,1.141514787,1,1,1,18.75,13.105,86.12
55.2,670.256,24.91,0.41,86.68,1.148514787,1,1,1,18.762,13.108,86.68
55.207,672.74,25.07,1.98,87.25,1.155514787,1,1,1,18.728,13.111,87.25
55.213,675.225,25.56,7.1,87.81,1.161514787,1,1,1,18.642,13.113,87.81
55.231,677.796,26.52,11.2,88.29,1.179514787,1,1,1,18.505,13.127,88.29
55.225,680.524,27.9,11.2,88.61,1.173514787,1,1,1,18.324,13.117,88.61
55.179,683.385,29.38,11.2,88.81,1.127514787,1,1,1,18.143,13.068,88.81
55.107,686.389,30.55,9.61,88.88,1.055514787,1,1,1,18.002,12.992,88.88
54.981,689.528,31.24,4.11,88.78,0.929514787,1,1,1,17.915,12.861,88.78
54.843,692.7,31.51,0.39,88.53,0.791514787,1,1,1,17.84,12.719,88.53
54.713,695.859,31.52,-0.41,88.13,0.661514787,1,1,1,17.757,12.593,88.13
54.582,699.007,31.49,-0.04,87.6,0.530514787,1,1,1,17.674,12.474,87.6
54.452,702.155,31.5,0.12,86.88,0.400514787,1,1,1,17.591,12.365,86.88
54.322,705.306,31.5,0.0,86.12,0.270514787,1,1,1,17.508,12.258,86.12
54.196,708.461,31.45,-0.78,85.43,0.144514787,1,1,1,17.421,12.52,85.43
54.054,711.612,31.29,-2.29,84.83,0.002514787,1,1,1,17.35,12.482,84.83
53.933,714.74,30.99,-3.79,84.31,0.118485213,1,1,1,17.262,12.527,84.31
