Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
15.914,298.59,23.33,11.2,73.83,1.132018754,1,1,1,11.285,12.079,73.83
15.817,300.917,25.37,11.2,74.44,1.229018754,1,1,1,11.408,12.051,74.44
15.82,303.531,26.77,6.37,75.06,1.226018754,1,1,1,11.521,12.018,75.06
15.845,306.226,27.63,4.51,75.13,1.201018754,1,1,1,11.594,11.952,75.13
15.889,309.016,28.33,0.98,75.12,1.157018754,1,1,1,11.11,11.894,75.12
15.94,311.855,28.48,0.12,75.19,1.106018754,1,1,1,10.961,11.843,75.19
15.992,314.703,28.5,0.0,75.29,1.054018754,1,0,1,10.908,99.0,75.29
16.043,317.552,28.57,-0.79,75.42,1.003018754,1,0,1,10.901,99.0,75.42
16.094,320.421,27.95,4.84,75.56,0.952018754,1,0,1,10.901,99.0,75.56
16.146,323.192,29.5,-4.73,75.77,0.900018754,1,0,1,10.901,99.0,75.77
16.199,326.195,28.95,-11.2,75.77,0.847018754,1,0,1,10.899,99.0,75.77
16.252,329.045,27.57,-9.64,75.93,0.794018754,1,0,1,10.897,99.0,75.93
16.3,331.747,26.25,-4.51,76.23,0.746018754,1,0,1,10.9,99.0,76.23
16.351,334.354,25.49,-0.8,76.61,0.695018754,1,0,1,10.937,99.0,76.61
16.402,336.892,25.32,0.92,77.11,0.644018754,1,0,1,10.887,99.0,77.11
16.456,339.429,25.45,0.26,77.65,0.590018754,1,0,1,10.797,99.0,77.65
16.511,341.976,25.49,0.03,77.79,0.535018754,1,0,1,10.7,99.0,77.79
16.566,344.523,25.62,-1.26,78.08,0.480018754,1,0,1,10.601,99.0,78.08
16.622,347.086,25.38,-0.42,78.46,0.424018754,1,0,1,10.501,99.0,78.46
16.678,349.603,25.82,-5.02,78.81,0.368018754,1,1,1,10.401,11.136,78.81
16.919,352.223,23.63,11.2,79.56,0.127018754,1,1,1,10.117,11.355,79.56
17.086,354.428,26.47,11.2,80.51,0.039981246,1,1,1,9.906,11.514,80.51
16.358,357.023,30.31,-11.2,80.67,0.688018754,1,1,1,10.613,10.772,80.67
16.158,360.217,26.37,6.1,80.76,0.888018754,1,1,1,10.771,10.556,80.76
16.022,362.548,29.07,11.2,81.44,1.024018754,1,1,1,10.838,10.414,81.44
15.935,365.526,31.09,1.87,81.87,1.111018754,1,1,1,10.879,10.322,81.87
16.436,368.667,31.34,-1.13,82.08,0.610018754,1,1,1,10.332,10.784,82.08
16.574,371.83,31.59,-11.2,82.05,0.472018754,1,1,1,10.148,10.914,82.05
16.647,375.109,29.08,-11.2,81.76,0.399018754,1,1,1,10.029,10.993,81.76
16.65,377.832,27.17,11.2,82.05,0.396018754,1,1,1,9.98,11.021,82.05
16.65,380.46,30.85,-6.86,82.45,0.396018754,1,0,1,9.934,99.0,82.45
16.67,383.712,29.1,-11.2,82.25,0.376018754,1,0,1,9.868,99.0,82.25
16.657,386.477,26.81,11.2,82.53,0.389018754,1,0,1,9.831,99.0,82.53
16.64,389.126,30.32,-11.2,82.94,0.406018754,1,0,1,9.859,99.0,82.94
16.642,392.326,25.94,11.2,82.77,0.404018754,1,0,1,9.737,99.0,82.77
