Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
38.945,958.022,15.0,0.0,33.75,2.431303165,1,0,1,12.464,99.0,33.75
38.946,959.522,15.0,0.0,34.07,2.430303165,1,0,1,12.464,99.0,34.07
38.947,961.022,15.0,0.0,34.44,2.429303165,1,0,1,12.465,99.0,34.44
38.95,962.522,15.0,0.0,35.31,2.426303165,1,0,1,12.463,99.0,35.31
38.951,964.022,15.0,0.0,35.72,2.425303165,1,0,1,12.464,99.0,35.72
38.952,965.522,15.0,0.0,35.92,2.424303165,1,0,1,12.464,99.0,35.92
38.954,967.022,15.0,0.0,35.98,2.422303165,1,0,1,12.464,99.0,35.98
38.956,968.522,15.0,0.0,36.0,2.420303165,1,0,1,12.463,99.0,36.0
38.957,970.022,15.0,0.0,36.0,2.419303165,1,0,1,12.464,99.0,36.0
38.959,971.522,15.0,0.0,36.0,2.417303165,1,0,1,12.464,99.0,36.0
38.96,973.022,15.0,0.0,36.0,2.416303165,1,0,1,12.464,99.0,36.0
38.962,974.522,15.0,0.0,36.0,2.414303165,1,0,1,12.463,99.0,36.0
38.963,976.022,15.0,0.0,36.0,2.413303165,1,0,1,12.464,99.0,36.0
38.965,977.522,15.0,0.0,36.0,2.411303165,1,0,1,12.464,99.0,36.0
38.966,979.022,15.0,0.04,36.0,2.410303165,1,0,1,12.464,99.0,36.0
38.968,980.522,15.01,-0.04,35.99,2.408303165,1,0,1,12.463,99.0,35.99
38.97,982.023,15.0,-0.04,36.05,2.406303165,1,0,1,12.464,99.0,36.05
38.971,983.522,14.99,0.03,36.33,2.405303165,1,0,1,12.464,99.0,36.33
38.972,985.022,15.0,0.0,36.09,2.404303165,1,0,1,12.464,99.0,36.09
38.974,986.522,15.0,0.04,34.91,2.402303165,1,0,1,12.464,99.0,34.91
38.976,988.022,15.0,0.0,34.74,2.400303165,1,0,1,13.221,99.0,34.74
38.977,989.522,15.01,-0.08,34.96,2.399303165,1,0,1,13.222,99.0,34.96
38.978,991.023,15.0,0.0,35.34,2.398303165,1,0,1,13.223,99.0,35.34
38.981,992.523,14.99,0.03,35.81,2.395303165,1,1,1,13.235,11.548,35.81
38.982,994.022,15.0,0.0,36.31,2.394303165,1,1,1,13.223,11.546,36.31
38.983,995.522,15.0,0.04,36.81,2.393303165,1,1,1,13.224,11.545,36.81
38.984,997.022,15.01,-0.04,37.31,2.392303165,1,1,1,13.235,11.543,37.31
38.987,998.523,15.0,-0.04,37.81,2.389303165,1,1,1,13.217,11.543,37.81
38.988,1000.022,14.99,0.03,38.32,2.388303165,1,1,1,13.224,11.542,38.32
38.989,1001.522,15.0,0.0,38.8,2.387303165,1,1,1,13.234,11.541,38.8
38.991,1003.022,15.0,0.04,39.3,2.385303165,1,1,1,13.225,11.54,39.3
38.993,1004.522,15.0,0.0,39.82,2.383303165,1,1,1,13.224,11.539,39.82
38.994,1006.022,15.01,-0.08,40.36,2.382303165,1,1,1,13.225,11.537,40.36
38.996,1007.523,15.0,0.0,40.9,2.380303165,1,1,1,13.224,11.537,40.9
38.997,1009.023,14.99,0.03,41.45,2.379303165,1,1,1,13.225,11.536,41.45
38.999,1010.522,14.99,0.05,41.99,2.377303165,1,1,1,13.225,11.535,41.99
