Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
29.662,270.675,37.53,0.0,72.37,0.089944464,1,0,1,15.329,99.0,72.37
29.594,274.427,37.53,0.0,72.09,0.021944464,1,0,1,14.96,99.0,72.09
29.526,278.18,37.53,0.0,71.82,0.046055536,1,0,1,14.676,99.0,71.82
29.458,281.933,37.53,0.0,71.54,0.114055536,1,1,1,14.515,10.384,71.54
29.39,285.681,37.56,0.6,71.27,0.182055536,1,1,1,14.426,10.324,71.27
29.322,289.448,37.55,-0.51,70.98,0.250055536,1,1,1,14.452,10.266,70.98
29.256,293.235,37.16,-6.0,70.66,0.316055536,1,1,1,14.492,10.208,70.66
29.2,296.939,36.15,-11.2,70.43,0.372055536,1,1,1,14.626,10.16,70.43
29.098,300.448,34.38,-11.2,70.4,0.474055536,1,1,1,14.837,10.06,70.4
28.958,303.758,32.0,-11.2,70.55,0.614055536,1,1,1,15.163,9.919,70.55
28.863,306.844,29.63,-11.2,70.95,0.709055536,1,1,1,15.371,9.823,70.95
28.799,309.738,27.82,-11.2,71.59,0.773055536,1,1,1,15.524,9.758,71.59
28.764,312.411,26.9,-3.42,72.47,0.808055536,1,1,1,15.532,9.722,72.47
28.782,315.024,26.93,4.78,73.41,0.790055536,0,1,1,99.0,9.744,73.41
28.784,317.717,27.55,8.15,74.23,0.788055536,0,1,1,99.0,9.741,74.23
28.787,320.514,28.29,7.57,74.92,0.785055536,0,1,1,99.0,9.712,74.92
28.79,323.41,28.78,2.89,75.52,0.782055536,0,1,1,99.0,9.662,75.52
28.792,326.345,28.76,-3.38,76.09,0.780055536,0,1,1,99.0,9.583,76.09
28.794,329.224,28.33,-6.21,76.71,0.778055536,0,1,1,99.0,9.496,76.71
28.797,332.011,27.9,-3.5,77.42,0.775055536,0,1,1,99.0,9.414,77.42
28.798,334.747,27.84,2.31,78.22,0.774055536,0,1,1,99.0,9.331,78.22
28.8,337.518,28.19,5.58,78.91,0.772055536,0,1,1,99.0,9.249,78.91
28.806,340.376,28.59,3.46,79.35,0.766055536,0,1,1,99.0,9.17,79.35
28.813,343.278,28.74,-0.62,79.69,0.759055536,0,1,1,99.0,9.092,79.69
28.801,346.165,28.62,-2.66,80.13,0.771055536,0,1,1,99.0,8.991,80.13
28.874,349.01,28.41,-1.85,80.78,0.698055536,0,1,1,99.0,8.976,80.78
28.986,351.831,28.29,-0.33,81.63,0.586055536,0,1,1,99.0,9.0,81.63
29.191,354.644,28.36,1.63,82.55,0.381055536,0,1,1,99.0,9.117,82.55
29.297,357.461,28.77,5.84,83.44,0.275055536,0,1,1,99.0,9.135,83.44
29.365,360.34,29.55,10.08,84.12,0.207055536,0,1,1,99.0,9.113,84.12
29.364,363.342,30.49,10.14,84.53,0.208055536,0,1,1,99.0,9.024,84.53
29.371,366.476,31.18,4.45,84.66,0.201055536,0,1,1,99.0,8.943,84.66
29.378,369.664,31.29,-2.66,84.6,0.194055536,0,1,1,99.0,8.862,84.6
29.387,372.804,30.92,-5.77,84.42,0.185055536,0,1,1,99.0,8.782,84.42
29.394,375.862,30.43,-4.71,84.19,0.178055536,0,1,1,99.0,8.701,84.19
29.401,378.882,29.91,-4.81,84.06,0.171055536,0,1,1,99.0,8.62,84.06
29.408,381.878,29.11,-9.79,84.05,0.164055536,0,1,1,99.0,8.539,84.05
29.406,384.738,28.01,-11.2,84.22,0.166055536,0,1,1,99.0,8.449,84.22
29.403,387.471,27.07,-8.31,84.49,0.169055536,0,1,1,99.0,8.357,84.49
29.393,390.07,26.75,2.2,84.88,0.179055536,0,1,1,99.0,8.259,84.88
29.384,392.707,27.18,8.53,85.22,0.188055536,0,1,1,99.0,8.162,85.22
29.372,395.477,27.88,6.38,85.43,0.200055536,0,1,1,99.0,8.062,85.43
29.387,398.33,28.29,1.52,85.58,0.185055536,0,1,1,99.0,7.988,85.58
29.305,401.184,28.36,-0.8,85.71,0.267055536,1,1,1,10.923,7.805,85.71
29.189,404.014,28.32,-0.33,85.86,0.383055536,1,1,1,10.981,7.659,85.86
28.98,406.83,28.41,1.89,86.1,0.592055536,1,1,1,11.212,7.458,86.1
28.858,409.67,28.65,3.3,86.48,0.714055536,1,1,1,11.43,7.397,86.48
28.806,412.601,28.5,-4.15,86.9,0.766055536,1,1,1,11.661,7.427,86.9
28.755,415.457,27.59,-11.2,87.53,0.817055536,1,1,1,11.814,7.403,87.53
28.633,418.167,26.62,-10.94,88.46,0.939055536,1,1,1,11.987,7.276,88.46
28.449,420.702,26.22,1.72,89.62,1.123055536,1,1,1,12.128,7.103,89.62
28.384,423.267,26.75,11.2,90.73,1.188055536,1,1,1,12.179,7.047,90.73
28.366,426.022,28.32,11.2,91.64,1.206055536,1,1,1,12.184,7.039,91.64
28.447,428.959,30.2,11.2,92.37,1.125055536,1,1,1,12.09,7.129,92.37
28.472,432.032,31.52,11.2,92.96,1.100055536,1,0,1,12.079,99.0,92.96
28.582,435.315,32.01,-1.47,93.35,0.990055536,1,0,1,12.033,99.0,93.35
28.691,438.579,31.51,-11.2,93.75,0.881055536,1,0,1,11.988,99.0,93.75
28.879,441.674,30.28,-11.2,94.3,0.693055536,1,0,1,11.864,99.0,94.3
28.991,444.618,29.25,-7.61,94.99,0.581055536,1,0,1,11.802,99.0,94.99
29.049,447.486,28.68,-4.46,95.77,0.523055536,1,0,1,11.738,99.0,95.77
29.013,450.31,28.36,-1.3,96.61,0.559055536,1,1,1,11.767,11.26,96.61
29.008,453.128,28.27,0.05,97.46,0.564055536,1,1,1,11.765,11.293,97.46
29.003,455.956,28.29,0.0,98.3,0.569055536,1,1,1,11.764,11.326,98.3
28.997,458.776,28.38,1.5,99.15,0.575055536,1,1,1,11.763,11.358,99.15
28.992,461.602,28.69,4.42,99.99,0.580055536,1,1,1,11.762,11.39,99.99
28.986,464.484,29.17,5.78,100.77,0.586055536,1,1,1,11.761,11.418,100.77
28.981,467.437,29.64,4.41,101.48,0.591055536,1,1,1,11.759,11.448,101.48
