Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
30.145,1414.043,31.49,-11.2,58.71,1.259333013,1,0,1,10.722,99.0,58.71
30.147,1417.286,28.96,-7.15,58.65,1.261333013,0,0,1,99.0,99.0,58.65
30.121,1420.017,28.48,0.45,59.22,1.235333013,0,0,1,99.0,99.0,59.22
30.11,1422.967,28.73,-11.2,59.44,1.224333013,1,0,1,9.917,99.0,59.44
30.108,1425.799,27.27,-9.33,59.67,1.222333013,1,0,1,9.913,99.0,59.67
30.087,1428.481,25.47,1.74,60.0,1.201333013,1,0,1,9.928,99.0,60.0
30.077,1431.04,26.5,-11.2,60.44,1.191333013,1,0,1,9.932,99.0,60.44
30.081,1433.804,24.08,-11.2,60.67,1.195333013,1,0,1,9.922,99.0,60.67
30.056,1436.1,21.67,9.07,61.63,1.170333013,1,0,1,9.941,99.0,61.63
30.038,1438.316,22.41,11.13,62.21,1.152333013,1,0,1,9.956,99.0,62.21
30.039,1440.602,23.88,7.53,62.62,1.153333013,1,0,1,9.951,99.0,62.62
30.029,1443.146,24.95,-11.2,62.9,1.143333013,1,0,1,9.957,99.0,62.9
30.109,1445.862,19.96,11.2,63.13,1.223333013,1,0,1,9.859,99.0,63.13
30.17,1447.292,25.93,11.2,64.69,1.284333013,1,0,1,9.791,99.0,64.69
29.677,1449.788,28.94,11.2,65.19,0.791333013,1,0,1,10.304,99.0,65.19
29.582,1452.725,30.46,9.26,65.25,0.696333013,1,0,1,10.403,99.0,65.25
29.572,1455.823,31.9,2.14,65.14,0.686333013,1,0,1,10.392,99.0,65.14
29.612,1459.027,32.23,0.31,65.02,0.726333013,1,0,1,10.335,99.0,65.02
29.66,1462.251,32.29,0.05,64.54,0.774333013,1,0,1,10.296,99.0,64.54
29.708,1465.481,32.3,-0.03,64.37,0.822333013,1,0,1,10.253,99.0,64.37
29.755,1468.71,32.29,0.0,64.34,0.869333013,1,0,1,10.193,99.0,64.34
29.803,1471.939,32.29,0.04,64.41,0.917333013,1,0,1,10.127,99.0,64.41
29.85,1475.168,32.3,-0.04,64.6,0.964333013,1,0,1,10.089,99.0,64.6
29.898,1478.398,32.29,0.0,64.78,1.012333013,1,0,1,10.046,99.0,64.78
29.946,1481.626,32.29,0.03,64.94,1.060333013,1,0,1,9.977,99.0,64.94
29.994,1484.856,32.3,-0.03,65.09,1.108333013,0,0,1,99.0,99.0,65.09
30.042,1488.085,32.29,0.0,65.24,1.156333013,0,0,1,99.0,99.0,65.24
30.09,1491.314,32.29,0.0,65.39,1.204333013,0,0,1,99.0,99.0,65.39
30.138,1494.543,32.29,0.04,65.54,1.252333013,1,0,1,10.795,99.0,65.54
30.186,1497.772,32.29,0.0,65.69,1.300333013,1,0,1,10.801,99.0,65.69
30.234,1501.001,32.3,-0.04,65.85,1.348333013,1,0,1,10.807,99.0,65.85
30.282,1504.231,32.29,0.0,65.92,1.396333013,1,0,1,10.812,99.0,65.92
30.328,1507.46,32.29,0.0,66.33,1.442333013,1,0,1,10.82,99.0,66.33
30.376,1510.689,32.29,0.0,66.48,1.490333013,1,0,1,10.826,99.0,66.48
30.424,1513.918,32.29,0.04,66.45,1.538333013,1,0,1,10.832,99.0,66.45
30.472,1517.147,32.3,-0.04,65.84,1.586333013,1,0,1,10.838,99.0,65.84
30.52,1520.377,32.29,0.0,65.67,1.634333013,1,0,1,10.843,99.0,65.67
30.568,1523.605,32.29,0.03,66.04,1.682333013,1,0,1,10.849,99.0,66.04
30.616,1526.835,32.3,-0.03,65.99,1.730333013,1,0,1,10.854,99.0,65.99
30.664,1530.064,32.29,0.0,66.21,1.778333013,1,0,1,10.861,99.0,66.21
30.712,1533.301,31.97,3.41,66.34,1.826333013,1,0,1,10.867,99.0,66.34
30.76,1536.494,32.69,0.33,66.34,1.874333013,1,0,1,10.872,99.0,66.34
30.808,1539.783,32.87,-2.93,65.81,1.922333013,1,0,1,10.878,99.0,65.81
30.847,1543.052,32.41,-0.59,65.75,1.961333013,1,0,1,10.892,99.0,65.75
30.876,1546.287,32.32,0.0,65.82,1.990333013,1,0,1,10.915,99.0,65.82
30.959,1549.519,32.32,-0.13,65.76,2.073333013,1,0,1,10.88,99.0,65.76
30.926,1552.751,32.3,-0.03,65.58,2.040333013,1,0,1,10.961,99.0,65.58
30.919,1555.981,32.29,0.03,65.36,2.033333013,1,0,1,11.016,99.0,65.36
30.947,1559.21,32.31,-0.07,65.22,2.061333013,1,0,1,11.029,99.0,65.22
30.984,1562.441,32.29,0.0,64.61,2.098333013,1,0,1,11.084,99.0,64.61
31.024,1565.669,32.29,0.07,64.39,2.138333013,1,0,1,11.018,99.0,64.39
31.063,1568.898,32.3,-0.07,64.45,2.177333013,1,0,1,10.978,99.0,64.45
31.103,1572.129,32.29,0.0,64.72,2.217333013,0,0,1,99.0,99.0,64.72
31.143,1575.357,32.29,0.03,64.99,2.257333013,0,0,1,99.0,99.0,64.99
31.182,1578.587,32.3,-0.03,0.0,2.296333013,0,0,0,99.0,99.0,99.0
